# variety ghosts halo streak chroma intensity  u v sunU sunV visibility  r g b
# generated by Project-Zero; checked against the reference lensFlare() by CheckLensFlare.py
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 0.440000 0.000000 0.000000 1.000000  0.00432951 0.00389717 0.00346422
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 0.440000 0.000000 0.000000 1.000000  0.00644585 0.00582310 0.00517851
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 0.440000 0.000000 0.000000 1.000000  0.01218871 0.01116492 0.00994605
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 0.440000 0.000000 0.000000 1.000000  0.01166575 0.01052032 0.00935375
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 0.440000 0.000000 0.000000 1.000000  0.01477997 0.01330198 0.01182398
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 0.440000 0.000000 0.000000 1.000000  0.02217285 0.02015387 0.01793659
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 0.440000 0.000000 0.000000 1.000000  0.02602823 0.02373761 0.02113479
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 0.440000 0.000000 0.000000 1.000000  0.04371686 0.04062069 0.03624900
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 0.440000 0.000000 0.000000 1.000000  0.01477997 0.01330198 0.01182398
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 0.440000 0.000000 0.000000 1.000000  0.01124315 0.01011886 0.00899454
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 0.440000 0.000000 0.000000 1.000000  0.00833773 0.00750650 0.00667272
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 0.440000 0.000000 0.000000 1.000000  0.00691052 0.00626453 0.00557348
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 0.440000 0.000000 0.000000 1.000000  0.00525444 0.00477585 0.00425041
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 0.660000 0.000000 0.000000 1.000000  0.00446938 0.00405731 0.00361037
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 0.660000 0.000000 0.000000 1.000000  0.00562737 0.00508917 0.00452643
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 0.660000 0.000000 0.000000 1.000000  0.00693556 0.00624469 0.00555113
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 0.660000 0.000000 0.000000 1.000000  0.00898422 0.00808580 0.00718738
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 0.660000 0.000000 0.000000 1.000000  0.01124277 0.01011849 0.00899422
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 0.660000 0.000000 0.000000 1.000000  0.02383872 0.02198972 0.01960585
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 0.660000 0.000000 0.000000 1.000000  0.01558180 0.01410702 0.01254884
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 0.660000 0.000000 0.000000 1.000000  0.01328038 0.01195929 0.01063126
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 0.660000 0.000000 0.000000 1.000000  0.01166537 0.01051996 0.00935342
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 0.660000 0.000000 0.000000 1.000000  0.00898422 0.00808580 0.00718738
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 0.660000 0.000000 0.000000 1.000000  0.00693163 0.00624096 0.00554780
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 0.660000 0.000000 0.000000 1.000000  0.00513658 0.00462293 0.00410927
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 0.660000 0.000000 0.000000 1.000000  0.00378102 0.00340337 0.00302527
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 0.880000 0.000000 0.000000 1.000000  0.00318632 0.00286900 0.00255037
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 0.880000 0.000000 0.000000 1.000000  0.00421827 0.00379738 0.00337555
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 0.880000 0.000000 0.000000 1.000000  0.00546119 0.00491507 0.00436895
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 0.880000 0.000000 0.000000 1.000000  0.00688180 0.00619362 0.00550544
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 0.880000 0.000000 0.000000 1.000000  0.00853016 0.00768930 0.00683629
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 0.880000 0.000000 0.000000 1.000000  0.01119849 0.01017005 0.00905021
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 0.880000 0.000000 0.000000 1.000000  0.01023087 0.00923006 0.00820698
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 0.880000 0.000000 0.000000 1.000000  0.00937038 0.00843335 0.00749631
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 0.880000 0.000000 0.000000 1.000000  0.01238113 0.01134773 0.01010961
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 0.880000 0.000000 0.000000 1.000000  0.00688572 0.00619734 0.00550877
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 0.880000 0.000000 0.000000 1.000000  0.00546119 0.00491507 0.00436895
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 0.880000 0.000000 0.000000 1.000000  0.00421819 0.00379730 0.00337549
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 0.880000 0.000000 0.000000 1.000000  0.00316000 0.00284400 0.00252800
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 -0.880000 0.000000 0.000000 1.000000  0.00316000 0.00284400 0.00252800
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 -0.880000 0.000000 0.000000 1.000000  0.00419956 0.00377960 0.00335965
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 -0.880000 0.000000 0.000000 1.000000  0.00546119 0.00491507 0.00436895
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 -0.880000 0.000000 0.000000 1.000000  0.00688180 0.00619362 0.00550544
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 -0.880000 0.000000 0.000000 1.000000  0.00828700 0.00745830 0.00662960
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 -0.880000 0.000000 0.000000 1.000000  0.00937031 0.00843328 0.00749625
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 -0.880000 0.000000 0.000000 1.000000  0.00978528 0.00880675 0.00782823
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 -0.880000 0.000000 0.000000 1.000000  0.00937031 0.00843328 0.00749625
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 -0.880000 0.000000 0.000000 1.000000  0.00828700 0.00745830 0.00662960
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 -0.880000 0.000000 0.000000 1.000000  0.00688180 0.00619362 0.00550544
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 -0.880000 0.000000 0.000000 1.000000  0.00546119 0.00491507 0.00436895
1.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 -0.880000 0.000000 0.000000 1.000000  0.00419956 0.00377960 0.00335965
1.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 -0.880000 0.000000 0.000000 1.000000  0.00316000 0.00284400 0.00252800
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 -0.660000 0.000000 0.000000 1.000000  0.00377195 0.00339475 0.00301756
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 -0.660000 0.000000 0.000000 1.000000  0.00513656 0.00462291 0.00410925
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 -0.660000 0.000000 0.000000 1.000000  0.00688180 0.00619362 0.00550544
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 -0.660000 0.000000 0.000000 1.000000  0.00898422 0.00808580 0.00718738
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 -0.660000 0.000000 0.000000 1.000000  0.01124277 0.01011849 0.00899422
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 -0.660000 0.000000 0.000000 1.000000  0.01314127 0.01182714 0.01051302
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 -0.660000 0.000000 0.000000 1.000000  0.01391378 0.01252240 0.01113102
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 -0.660000 0.000000 0.000000 1.000000  0.01314127 0.01182714 0.01051302
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 -0.660000 0.000000 0.000000 1.000000  0.01124277 0.01011849 0.00899422
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 -0.660000 0.000000 0.000000 1.000000  0.00898422 0.00808580 0.00718738
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 -0.660000 0.000000 0.000000 1.000000  0.00688180 0.00619362 0.00550544
1.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 -0.660000 0.000000 0.000000 1.000000  0.00513656 0.00462291 0.00410925
1.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 -0.660000 0.000000 0.000000 1.000000  0.00377195 0.00339475 0.00301756
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 -0.440000 0.000000 0.000000 1.000000  0.00431732 0.00388559 0.00345386
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 -0.440000 0.000000 0.000000 1.000000  0.00600926 0.00540833 0.00480741
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 -0.440000 0.000000 0.000000 1.000000  0.00828700 0.00745830 0.00662960
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 -0.440000 0.000000 0.000000 1.000000  0.01124277 0.01011849 0.00899422
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 -0.440000 0.000000 0.000000 1.000000  0.01477997 0.01330198 0.01182398
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 -0.440000 0.000000 0.000000 1.000000  0.01820659 0.01638593 0.01456527
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 -0.440000 0.000000 0.000000 1.000000  0.01978412 0.01780570 0.01582729
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 -0.440000 0.000000 0.000000 1.000000  0.01820659 0.01638593 0.01456527
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 -0.440000 0.000000 0.000000 1.000000  0.01477997 0.01330198 0.01182398
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 -0.440000 0.000000 0.000000 1.000000  0.01124277 0.01011849 0.00899422
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 -0.440000 0.000000 0.000000 1.000000  0.00828700 0.00745830 0.00662960
1.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 -0.440000 0.000000 0.000000 1.000000  0.00600926 0.00540833 0.00480741
1.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 -0.440000 0.000000 0.000000 1.000000  0.00431732 0.00388559 0.00345386
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 -0.220000 0.000000 0.000000 1.000000  0.00470087 0.00423078 0.00376069
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 -0.220000 0.000000 0.000000 1.000000  0.00664606 0.00598146 0.00531685
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 -0.220000 0.000000 0.000000 1.000000  0.00937031 0.00843328 0.00749625
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 -0.220000 0.000000 0.000000 1.000000  0.01314127 0.01182714 0.01051302
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 -0.220000 0.000000 0.000000 1.000000  0.01820659 0.01638593 0.01456527
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 -0.220000 0.000000 0.000000 1.000000  0.02431458 0.02188312 0.01945167
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 -0.220000 0.000000 0.000000 1.000000  0.02813121 0.02531808 0.02250497
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 -0.220000 0.000000 0.000000 1.000000  0.02431458 0.02188312 0.01945167
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 -0.220000 0.000000 0.000000 1.000000  0.01820659 0.01638593 0.01456527
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 -0.220000 0.000000 0.000000 1.000000  0.01314127 0.01182714 0.01051302
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 -0.220000 0.000000 0.000000 1.000000  0.00937031 0.00843328 0.00749625
1.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 -0.220000 0.000000 0.000000 1.000000  0.00664606 0.00598146 0.00531685
1.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 -0.220000 0.000000 0.000000 1.000000  0.00470087 0.00423078 0.00376069
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 0.000000 0.000000 0.000000 1.000000  0.03892437 0.04533686 0.05692173
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 0.000000 0.000000 0.000000 1.000000  0.06218571 0.07268742 0.09158157
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 0.000000 0.000000 0.000000 1.000000  0.09951874 0.11669639 0.14749119
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 0.000000 0.000000 0.000000 1.000000  0.15951096 0.18757892 0.23774141
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 0.000000 0.000000 0.000000 1.000000  0.25602305 0.30184391 0.38351431
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 0.000000 0.000000 0.000000 1.000000  0.41144112 0.48618481 0.61909622
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 0.000000 0.000000 0.000000 1.000000  0.66194010 0.78378010 1.00000000
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 0.000000 0.000000 0.000000 1.000000  0.41144112 0.48618481 0.61909622
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 0.000000 0.000000 0.000000 1.000000  0.25602305 0.30184391 0.38351431
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 0.000000 0.000000 0.000000 1.000000  0.15951096 0.18757892 0.23774141
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 0.000000 0.000000 0.000000 1.000000  0.09951874 0.11669639 0.14749119
1.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 0.000000 0.000000 0.000000 1.000000  0.06218571 0.07268742 0.09158157
1.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 0.000000 0.000000 0.000000 1.000000  0.03892437 0.04533686 0.05692173
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 0.220000 0.000000 0.000000 1.000000  0.00470087 0.00423078 0.00376069
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 0.220000 0.000000 0.000000 1.000000  0.00664606 0.00598146 0.00531685
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 0.220000 0.000000 0.000000 1.000000  0.00937031 0.00843328 0.00749625
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 0.220000 0.000000 0.000000 1.000000  0.01314127 0.01182714 0.01051302
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 0.220000 0.000000 0.000000 1.000000  0.01820659 0.01638593 0.01456527
1.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 0.220000 0.000000 0.000000 1.000000  0.02431458 0.02188312 0.01945167
1.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 0.220000 0.000000 0.000000 1.000000  0.02813121 0.02531808 0.02250497
